studyid,authors,year,state_or_territory,outcome,measure,time_status_of_measure,includes_complete_dichotomous,setting,studygroups,studygroups_alternative,ITT,technique,information reported,Parameter name,Coefficient/estimate,SE,DF,Page
4,Weatherburn et al. ,2008,NSW,conviction,time to first conviction (regressed),free time,Yes,DC,accepted vs rejected,NA,Graduates/Failures,Cox proportional hazard regression,"treatment ,prior violent offences (0ref,1,2+), concurrent offences (0-2ref, 3-5, 6-10, 11+), age (18-21, 22-26, 27-30, 31+ref), prior convictions (0-4ref, 5-9, 10-14, 15+) ",DRUGCOURT,0.83,NA,NA,8
4,Weatherburn et al. ,2008,NSW,conviction,time to first conviction (regressed),free time,Yes,DC,accepted vs rejected,NA,Graduates,Cox proportional hazard regression,"treatment ,prior violent offences (0ref,1,2+), concurrent offences (0-2ref, 3-5, 6-10, 11+), age (18-21, 22-26, 27-30, 31+ref), prior convictions (0-4ref, 5-9, 10-14, 15+) ",COMPLETED,0.63,NA,NA,11
4,Weatherburn et al. ,2008,NSW,conviction(person),time to first conviction (regressed),free time,Yes,DC,accepted vs rejected,NA,Graduates/Failures,Cox proportional hazard regression,"treatment ,prior violent offences (0,1,2+), concurrent offences (0-2ref, 3-5, 6-10, 11+), ATSI (Y/n), Male (Y/n), prior convictions (0-4ref, 5-9, 10-14, 15+), index offence (viol, theft, drug, other(REF))",DRUGCOURT,0.7,NA,NA,8
4,Weatherburn et al. ,2008,NSW,conviction(person),time to first conviction (regressed),free time,Yes,DC,accepted vs rejected,NA,Graduates,Cox proportional hazard regression,"treatment ,prior violent offences (0,1,2+), concurrent offences (0-2ref, 3-5, 6-10, 11+), ATSI (Y/n), Male (Y/n), prior convictions (0-4ref, 5-9, 10-14, 15+), index offence (viol, theft, drug, other(REF))",COMPLETED,0.35,NA,NA,11
4,Weatherburn et al. ,2008,NSW,conviction (property),time to first conviction (regressed),free time,Yes,DC,accepted vs rejected,NA,Graduates/Failures,Cox proportional hazard regression,"treatment ,prior violent offences (0,1,2+), concurrent offences (0-2ref, 3-5, 6-10, 11+), Male (Y/n), prior convictions (0-4ref, 5-9, 10-14, 15+), index offence (viol, theft, drug, other(REF))",DRUGCOURT,0.95,NA,NA,8
4,Weatherburn et al. ,2008,NSW,conviction (property),time to first conviction (regressed),free time,Yes,DC,accepted vs rejected,NA,Graduates,Cox proportional hazard regression,"treatment ,prior violent offences (0,1,2+), concurrent offences (0-2ref, 3-5, 6-10, 11+), Male (Y/n), prior convictions (0-4ref, 5-9, 10-14, 15+), index offence (viol, theft, drug, other(REF))",COMPLETED,0.65,NA,NA,11
4,Weatherburn et al. ,2008,NSW,conviction (drug),time to first conviction (regressed),free time,Yes,DC,accepted vs rejected,NA,Graduates/Failures,Cox proportional hazard regression,"treatment ,prior violent offences (0ref,1,2+), concurrent offences (0-2ref, 3-5, 6-10, 11+), prior convictions (0-4ref, 5-9, 10-14, 15+) ",DRUGCOURT,0.62,NA,NA,8
4,Weatherburn et al. ,2008,NSW,conviction (drug),time to first conviction (regressed),free time,Yes,DC,accepted vs rejected,NA,Graduates,Cox proportional hazard regression,"treatment ,prior violent offences (0ref,1,2+), concurrent offences (0-2ref, 3-5, 6-10, 11+), prior convictions (0-4ref, 5-9, 10-14, 15+) ",COMPLETED,0.42,NA,NA,11
4b,Weatherburn et al. ,n.d.,NSW,conviction,offence incidents (regressed),free time,No,DC,accepted vs rejected,None Reported,Graduates/Failures,negative binomial regression (reported as an IRR per 1000 days),"treatment (y/n),catchment area (y/n), age ,prior violent offences (y/n), concurrent offences (3-4, 6-10,, 11+), ATSI (Y/n), Male (Y/n), prior convictions (0-4, 5-9, 10-14, 15+), index offence (theft, driving, drug, other, constant, ln(freedays) lnalpha, alpha ",Treatment ,0.83,0.06,NA,24
4b,Weatherburn et al. ,n.d.,NSW,conviction,time to first conviction (regressed),free time,No,DC,accepted vs rejected,None Reported,Graduates/Failures,Cox proportional hazard regression,"treatment (y/n),catchment area (y/n), age ,prior violent offences (y/n), concurrent offences (3-4, 6-10,, 11+), ATSI (Y/n), Male (Y/n), prior convictions (0-4, 5-9, 10-14, 15+), index offence (theft, driving, drug, other",Treatment ,0.95,0.08,NA,20
4b,Weatherburn et al. ,n.d.,NSW,conviction (person),time to first conviction (regressed),free time,No,DC,accepted vs rejected,None Reported,Graduates/Failures,Cox proportional hazard regression,"treatment (y/n),catchment area (y/n), age ,prior violent offences (y/n), concurrent offences (3-4, 6-10,, 11+), ATSI (Y/n), Male (Y/n), prior convictions (0-4, 5-9, 10-14, 15+), index offence (theft, driving, drug, other",Treatment ,0.78,0.08,NA,21
4b,Weatherburn et al. ,n.d.,NSW,conviction (property),time to first conviction (regressed),free time,No,DC,accepted vs rejected,None Reported,Graduates/Failures,Cox proportional hazard regression,"treatment (y/n),catchment area (y/n), age ,prior violent offences (y/n), concurrent offences (3-4, 6-10,, 11+), ATSI (Y/n), Male (Y/n), prior convictions (0-4, 5-9, 10-14, 15+), index offence (theft, driving, drug, other",Treatment ,0.94,0.08,NA,22
4b,Weatherburn et al. ,n.d.,NSW,conviction (drug),time to first conviction (regressed),free time,No,DC,accepted vs rejected,None Reported,Graduates/Failures,Cox proportional hazard regression,"treatment (y/n),catchment area (y/n), age ,prior violent offences (y/n), concurrent offences (3-4, 6-10,, 11+), ATSI (Y/n), Male (Y/n), prior convictions (0-4, 5-9, 10-14, 15+), index offence (theft, driving, drug, other",Treatment ,0.86,0.09,NA,23
5,Crime Research Centre,2003,WA,re-arrest,survival,free time,No,DC,standard,NA,Graduates,weibull mixture model (see endnote research notes for a paper that provides more information on the technique).,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,NA,NA,NA,116
5,Crime Research Centre,2003,WA,re-arrest,survival,free time,No,DC,standard,NA,Failures,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,NA,NA,NA,116
5,Crime Research Centre,2003,WA,re-arrest,probability of rearrest,free time,No,DC,standard,NA,Graduates,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,0.75,NA,NA,116
5,Crime Research Centre,2003,WA,re-arrest,probability of rearrest,free time,No,DC,standard,NA,Failures,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,0.9,NA,NA,116
5,Crime Research Centre,2003,WA,re-arrest,probability of rearrest,free time,No,DC,not accepted,NA,NA,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,0.87,NA,NA,116
5,Crime Research Centre,2003,WA,re-arrest,survival,free time,No,DC,standard,offenders,Graduates,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,NA,NA,NA,122
5,Crime Research Centre,2003,WA,re-arrest,survival,free time,No,DC,standard,offenders,Failures,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,NA,NA,NA,122
5,Crime Research Centre,2003,WA,re-arrest,probability of rearrest,free time,No,DC,standard,offenders,Graduates,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,0.66,NA,NA,122
5,Crime Research Centre,2003,WA,re-arrest,probability of rearrest,free time,No,DC,standard,offenders,Failures,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,0.82,NA,NA,122
5,Crime Research Centre,2003,WA,re-arrest,survival,free time,No,DC,standard,drug offenders,Graduates,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,NA,NA,NA,123
5,Crime Research Centre,2003,WA,re-arrest,survival,free time,No,DC,standard,drug offenders,Failures,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,NA,NA,NA,123
5,Crime Research Centre,2003,WA,re-arrest,probability of rearrest,free time,No,DC,standard,drug offenders,Graduates,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,0.92,NA,NA,123
5,Crime Research Centre,2003,WA,re-arrest,probability of rearrest,free time,No,DC,standard,drug offenders,Failures,weibull mixture model,"survival, probability of reoffending (and a CI), mediam time to rearrest ",NA,0.9,NA,NA,123
6,Department of Attorney General (WA),2006,WA,re-arrest,% rearrested,elapsed time,Yes,DC,standard, prisoners,Graduates,"weeks of survival (not reported as regression, simply week brackets that indicate when offence took place)",NA,NA,NA,NA,NA,26
6,Department of Attorney General (WA),2006,WA,re-arrest,% rearrested,elapsed time,Yes,DC,standard,CJS,Graduates,weeks of survival (not reported as regression),NA,NA,NA,NA,NA,26
7,Makkai & Veraar,2003,QLD,offence,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,2.5,NA,2,34
7,Makkai & Veraar,2003,QLD,offence,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,31.8,NA,4,36
7,Makkai & Veraar,2003,QLD,offence,survival,free time,Yes,DC,accepted vs reffused,NA,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,31.8,NA,4,36
7,Makkai & Veraar,2003,QLD,offence,survival,free time,Yes,DC,standard,prisoners,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,2.5,NA,2,34
7,Makkai & Veraar,2003,QLD,offence,survival,free time,Yes,DC,standard,prisoners,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,31.8,NA,4,36
7,Makkai & Veraar,2003,QLD,offence,survival,free time,Yes,DC,standard,prisoners,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,31.8,NA,4,36
7,Makkai & Veraar,2003,QLD,property offence,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,4,NA,2,34
7,Makkai & Veraar,2003,QLD,property offence,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,29.6,NA,4,36
7,Makkai & Veraar,2003,QLD,property offence,survival,free time,Yes,DC,accepted vs reffused,NA,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,29.6,NA,4,36
7,Makkai & Veraar,2003,QLD,property offence,survival,free time,Yes,DC,standard,prisoners,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,4,NA,2,34
7,Makkai & Veraar,2003,QLD,property offence,survival,free time,Yes,DC,standard,prisoners,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,29.6,NA,4,36
7,Makkai & Veraar,2003,QLD,property offence,survival,free time,Yes,DC,standard,prisoners,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,29.6,NA,4,36
7,Makkai & Veraar,2003,QLD,"break, enter and steal offence",survival,free time,Yes,DC,accepted vs reffused,NA,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3.2,NA,2,35
7,Makkai & Veraar,2003,QLD,"break, enter and steal offence",survival,free time,Yes,DC,accepted vs reffused,NA,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,10.1,NA,4,37
7,Makkai & Veraar,2003,QLD,"break, enter and steal offence",survival,free time,Yes,DC,accepted vs reffused,NA,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,10.1,NA,4,37
7,Makkai & Veraar,2003,QLD,"break, enter and steal offence",survival,free time,Yes,DC,standard,prisoners,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3.2,NA,2,35
7,Makkai & Veraar,2003,QLD,"break, enter and steal offence",survival,free time,Yes,DC,standard,prisoners,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,10.1,NA,4,37
7,Makkai & Veraar,2003,QLD,"break, enter and steal offence",survival,free time,Yes,DC,standard,prisoners,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,10.1,NA,4,37
7,Makkai & Veraar,2003,QLD,shop stealing offence ,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,0.43,NA,2,35
7,Makkai & Veraar,2003,QLD,shop stealing offence ,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3.2,NA,4,37
7,Makkai & Veraar,2003,QLD,shop stealing offence ,survival,free time,Yes,DC,accepted vs reffused,NA,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3.2,NA,4,37
7,Makkai & Veraar,2003,QLD,shop stealing offence ,survival,free time,Yes,DC,standard,prisoners,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,0.43,NA,2,35
7,Makkai & Veraar,2003,QLD,shop stealing offence ,survival,free time,Yes,DC,standard,prisoners,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3.2,NA,4,37
7,Makkai & Veraar,2003,QLD,shop stealing offence ,survival,free time,Yes,DC,standard,prisoners,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3.2,NA,4,37
7,Makkai & Veraar,2003,QLD,fraud offence,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,1.5,NA,2,35
