studyid,authors,year,jurisdiction,outcome,measure,time_status_of_measure,includes_complete_dichotomous,setting,studygroups,studygroups_alternative,ITT,LT_arrests_treat,LT_arrests_treat_SD,LT_arrests_treat_n,LT_arrests_cont,LT_arrests_cont_SD,LT_arrests_cont_n,LT_convictions_treat,LT_convictions_treat_n,LT_convictions_cont,LT_convictions_cont_n,mean_age_treat,mean_age_treat_SD,mean_age_cont,mean_age_cont_SD,male_%_treat,male_%_cont,ATSI_or_MAORI_%_treat,ATSI_or_MAORI_%_cont,bl_pre_period_months,bl_treat_m,bl_treat_sd,bl_treat_median,bl_treat_n,bl_cont_m,bl_cont_sd,bl_cont_median,bl_cont_n,bl_treat_Dichotomous_%_Yes,bl_treat_Dichotomous_n,bl_cont_Dichotomous_%_Yes,bl_cont_Dichotomous_n,pt_period_months,pt_begins,pt_period_days_avg_treat,pt_period_days_avg_cont,measured_during_or_post_pt,Program_duration_minimum_months,Program_duration_average_months,Post_program_PT_months_treat,Post_program_PT_months_cont,pt_treat_m,pt_treat_sd,pt_treat_median,pt_treat_n,pt_cont_m,pt_cont_sd,pt_cont_median,pt_cont_n,pt_treat_Dichotomous_%,pt_treat_Dichotomous_n,pt_cont_Dichotomous_%,pt_cont_Dichotomous_n,mv_notes,charge_level,accepeted_violent,reported_accepting_violent,reported_accepting_indictable,reported_charges_expunged,pt_%_program_graduates,pt_program_graduates_n,pt_%_program_terminates,pt_program_terminates_n,pt_order_name_treat,pt_order_completion_treat_%,pt_order_completion_treat_n,pt_order_name_cont,pt_order_completion_cont_%,pt_order_completion_cont_n,source,source_published,research_design,stage_of_disposition,reported_single_JO,JOs_presiding_over_hearings_collapsed,reported_team_training,reported_JO training,reported_judge_or_team_training,average_minutes_review_hearing,reported_frequent_team_meetings,reported_sanctions,reported_using_graduated_sanctions,reported_sanctions_or_graduated_sanctions,reported_using_rewards,reported_sanctions_and_rewards,frequency_review_hearing,frequency_duration,frequent_vs_monthly_rh,reported_frequent_rh,reported_measuring_risk_treat,reported_measuring_risk_cont,reported_individualized_treat_treat,reported_individualized_treat_cont,reported_drug_or_alcohol_treatment_treat,type_of_drug_or_alch_treat_treat,reported_drug_or_alcohol_treatment_cont,type_of_drug_or_alch_treat_cont,reported_drug_or_alcohol_testing_treat,reported_drug_or_alcohol_testing_cont,reported_detox_treat,reported_detox_cont,reported_pharmacotherapy_treat,reported_pharmacotherapy_cont,reported_relapse_prevention_treat,reported_relapse_prevention_cont,reported_psychiatric_treatment_treat,reported_psychiatric_treatment_cont,reported_mental_health_treatment_treat,reported_mental_health_treatment_cont,reported_CBT_based_treatment_treat,reported_CBT_based_treatment_cont,reported_counseling_treat,reported_counseling_cont,reported_housing_support_treat,reported_housing_support_cont,reported_support_groups_treat,reported_support_groups_ cont,reported_material_aid_treat,reported_material_aid_cont,reported_health_services_treat,reported_health_services_cont,reported_domestic_violence_prog_treat,reported_domestic_violence_prog_cont,reported_edu_or_vocational_services_treat,reported_edu_or_vocational_services_cont,reported_anger_management_treat,reported_anger_management_cont,reported_life_skills_treat,reported_life_skills_cont,reported_family_support_service_or_training_treat,reported_family_support_service_or_training_cont,reported_prison_cont,other_treatment_treat,other_treatment_cont,total_treatments_required_treat,total_treatments_required_cont,total_treatments_offered_treat,total_treatments_offered_cont,included_sample_matching,reported_sample_matching,MSMS,MSMS_reason
1a,Lind et al.,2002,NSW,"break, enter, and steal offences",survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,fraud offences,survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,shop stealing offence,survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,larceny other than shop stealing offences,survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,unlawful possession offences,survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,motor vehicle theft offences,survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,any drug offence,survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,"possess/use opiates,
Survival function based on free time",survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,possess/use cannabis,survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,possess/use other drug,survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,deal/traffic opiates,survival,free time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,243,145,During,12,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,160,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,3.9,12,42.86,132,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
1a,Lind et al.,2002,NSW,theft or drug offences,survival,elapsed time,Yes,DC,standard,None Reported,Graduates/Failures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,26,NA,82.2,90.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,referral,369,294,During,12,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,191,NA,NA,NA,NA,,summary & indictable,No,No,Yes,No,4,12,43,133,NA,NA,NA,NA,NA,NA,Evaluation,unpublished,RCT,Post,No,Not Reported,No,No,No,3,Yes,Yes,No,sanctions,Yes,Yes,weekly,initial phases,frequent,Yes,No,No,Yes,No,required,residential & non_residential,No,NA,required,No,required,No,offered,No,required,No,No,No,No,No,No,No,required,No,offered,No,No,No,offered,No,No,No,No,No,offered,No,No,No,required,No,offered,No,No,community service,NA,5,NA,6,NA,Yes,Yes,5,Participants were randomly allocated to the treatment and control conditions. 
